ID,Date,Primary.Type,Description,Location.Description,Arrest,Domestic,Latitude,Longitude
1,28-06-2023,ASSAULT,AUTOMOBILE,APARTMENT,TRUE,FALSE,41.92199615,-87.58377114
2,14-01-2023,BURGLARY,UNLAWFUL ENTRY,"SCHOOL, PUBLIC, BUILDING",FALSE,TRUE,41.82002051,-87.53361355
3,14-07-2023,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,FALSE,TRUE,41.68272074,-87.67105652
4,02-11-2023,ASSAULT,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,41.9907607,-87.63809523
5,28-04-2023,BURGLARY,ARMED: HANDGUN,RESIDENCE,FALSE,FALSE,41.78820219,-87.92986196
6,26-10-2023,BURGLARY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,FALSE,41.75137906,-87.65555798
7,17-08-2023,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,41.84097378,-87.92609817
8,01-09-2023,BATTERY,OVER $500,APARTMENT,FALSE,FALSE,41.68149195,-87.68533689
9,14-01-2023,BURGLARY,SIMPLE,ALLEY,FALSE,FALSE,41.94087541,-87.74257627
10,02-06-2023,BATTERY,AUTOMOBILE,RESTAURANT,TRUE,FALSE,41.85570416,-87.9102385
11,31-03-2023,ASSAULT,DOMESTIC BATTERY SIMPLE,SIDEWALK,TRUE,FALSE,41.71655545,-87.66311454
12,01-04-2023,ASSAULT,ARMED: HANDGUN,APARTMENT,FALSE,TRUE,41.71460917,-87.56483861
13,13-09-2023,MOTOR VEHICLE THEFT,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,FALSE,41.78730607,-87.59170226
14,16-07-2023,BATTERY,AUTOMOBILE,STREET,TRUE,FALSE,42.00622828,-87.80825367
15,01-04-2023,ROBBERY,POSS: CANNABIS 30GMS OR LESS,STREET,FALSE,FALSE,42.00360628,-87.82883838
16,14-12-2023,BURGLARY,AUTOMOBILE,RESIDENCE,TRUE,TRUE,42.01668862,-87.71244662
17,17-05-2023,BATTERY,AGGRAVATED,SIDEWALK,TRUE,TRUE,42.01756785,-87.58314729
18,21-12-2023,CRIMINAL DAMAGE,UNLAWFUL ENTRY,RESTAURANT,TRUE,FALSE,41.76024908,-87.57409238
19,24-11-2023,CRIMINAL DAMAGE,DOMESTIC BATTERY SIMPLE,ALLEY,FALSE,FALSE,41.97434016,-87.69124731
20,26-01-2023,ROBBERY,DOMESTIC BATTERY SIMPLE,PARKING LOT,FALSE,TRUE,41.92315897,-87.5880255
21,07-01-2023,BATTERY,AGGRAVATED,"SCHOOL, PUBLIC, BUILDING",TRUE,TRUE,41.7670355,-87.73595207
22,17-05-2023,NARCOTICS,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,FALSE,41.90520316,-87.786947
23,11-09-2023,BATTERY,AUTOMOBILE,PARKING LOT,FALSE,TRUE,41.77028899,-87.90979094
24,30-07-2023,NARCOTICS,SIMPLE,APARTMENT,TRUE,TRUE,41.69146967,-87.76683828
25,19-03-2023,MOTOR VEHICLE THEFT,AGGRAVATED,RESTAURANT,TRUE,TRUE,41.65656488,-87.55751526
26,22-03-2023,BURGLARY,OVER $500,RESIDENCE,FALSE,FALSE,41.8165691,-87.61023614
27,12-02-2023,BATTERY,AGGRAVATED,SIDEWALK,FALSE,FALSE,41.95095346,-87.65288357
28,25-12-2023,BURGLARY,AUTOMOBILE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,41.93500648,-87.89293355
